S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
853,USA,2020,SQL Injection,Government,"$40,950,000","803,757",Hacker Group,Social Engineering,Firewall,33
854,Japan,2022,DDoS,IT,"$20,160,000","174,510",Insider,Zero-day,AI-based Detection,60
855,Germany,2022,SQL Injection,Retail,"$11,510,000","857,660",Hacker Group,Zero-day,VPN,37
856,UK,2020,SQL Injection,Banking,"$47,670,000","729,265",Unknown,Zero-day,Firewall,42
857,India,2023,Phishing,Retail,"$38,890,000","836,604",Hacker Group,Unpatched Software,AI-based Detection,44
858,China,2016,Malware,Government,"$91,690,000","885,843",Insider,Unpatched Software,AI-based Detection,46
859,France,2015,Man in the Middle,Education,"$17,940,000","808,798",Unknown,Social Engineering,Encryption,60
860,Russia,2018,Man in the Middle,Communications,"$30,500,000","401,208",Hacker Group,Unpatched Software,VPN,10
861,Japan,2021,Ransomware,Healthcare,"$77,330,000","380,970",Nation-state,Weak Passwords,Encryption,44
862,USA,2021,Phishing,Healthcare,"$70,030,000","248,437",Hacker Group,Social Engineering,Encryption,70
863,Australia,2024,SQL Injection,Retail,"$66,490,000","709,125",Hacker Group,Weak Passwords,AI-based Detection,37
864,Japan,2018,Malware,Education,"$5,330,000","656,250",Hacker Group,Social Engineering,Firewall,67
865,India,2020,Ransomware,Healthcare,"$10,460,000","32,616",Unknown,Unpatched Software,Firewall,63
866,Australia,2017,Phishing,Healthcare,"$39,300,000","290,846",Unknown,Weak Passwords,Firewall,3
867,India,2023,DDoS,Banking,"$23,830,000","557,428",Insider,Unpatched Software,VPN,38
868,Japan,2015,DDoS,Banking,"$59,130,000","182,440",Insider,Zero-day,Firewall,8
869,Australia,2021,DDoS,Government,"$30,240,000","292,383",Insider,Social Engineering,Encryption,71
870,France,2017,DDoS,Government,"$86,820,000","99,728",Nation-state,Unpatched Software,VPN,44
871,USA,2015,DDoS,IT,"$66,390,000","365,006",Insider,Weak Passwords,VPN,47
872,Russia,2019,Ransomware,Communications,"$61,110,000","605,427",Nation-state,Zero-day,Encryption,33
873,USA,2022,Malware,Retail,"$7,650,000","864,358",Hacker Group,Unpatched Software,VPN,11
874,USA,2016,Ransomware,Retail,"$9,820,000","610,968",Unknown,Unpatched Software,Antivirus,26
875,China,2016,DDoS,IT,"$67,280,000","413,150",Hacker Group,Social Engineering,Firewall,27
876,USA,2017,Malware,Education,"$13,140,000","681,956",Nation-state,Social Engineering,Antivirus,35
877,Australia,2016,Man in the Middle,IT,"$84,460,000","94,162",Unknown,Weak Passwords,Firewall,15
878,France,2023,Man in the Middle,Retail,"$9,430,000","565,002",Hacker Group,Unpatched Software,Firewall,72
879,France,2017,Phishing,Retail,"$90,690,000","275,185",Nation-state,Zero-day,Encryption,20
880,Russia,2021,DDoS,Retail,"$37,470,000","476,758",Hacker Group,Unpatched Software,AI-based Detection,19
881,USA,2024,SQL Injection,Banking,"$7,200,000","312,607",Hacker Group,Weak Passwords,Antivirus,24
882,Russia,2017,Phishing,Banking,"$94,150,000","963,192",Hacker Group,Weak Passwords,VPN,7
883,Australia,2015,Malware,Healthcare,"$42,150,000","680,874",Unknown,Zero-day,Antivirus,8
884,France,2018,DDoS,Government,"$15,710,000","904,770",Hacker Group,Social Engineering,Antivirus,4
885,USA,2022,SQL Injection,Government,"$98,460,000","429,452",Hacker Group,Weak Passwords,Antivirus,6
886,USA,2018,Ransomware,Healthcare,"$51,710,000","858,128",Hacker Group,Social Engineering,Antivirus,35
887,China,2021,Malware,Education,"$42,260,000","615,849",Nation-state,Unpatched Software,Encryption,44
888,UK,2019,Phishing,Education,"$99,450,000","467,349",Nation-state,Zero-day,Firewall,44
889,France,2021,SQL Injection,Retail,"$63,740,000","235,418",Nation-state,Weak Passwords,Encryption,28
890,Australia,2017,SQL Injection,IT,"$5,050,000","823,606",Insider,Weak Passwords,Encryption,25
891,China,2020,SQL Injection,IT,"$89,380,000","923,489",Nation-state,Unpatched Software,Firewall,66
892,USA,2024,Phishing,IT,"$58,570,000","630,793",Hacker Group,Social Engineering,AI-based Detection,64
893,France,2015,SQL Injection,Education,"$65,830,000","691,903",Unknown,Zero-day,VPN,54
894,UK,2019,Phishing,Government,"$79,790,000","133,632",Hacker Group,Weak Passwords,Firewall,8
895,Australia,2017,Phishing,Banking,"$90,500,000","42,278",Insider,Weak Passwords,AI-based Detection,45
896,Germany,2016,Phishing,IT,"$2,100,000","176,471",Unknown,Zero-day,VPN,9
897,India,2015,SQL Injection,Communications,"$63,720,000","916,516",Hacker Group,Social Engineering,Encryption,68
898,Japan,2023,SQL Injection,Government,"$87,800,000","510,002",Hacker Group,Social Engineering,Firewall,62
899,UK,2015,Malware,IT,"$82,450,000","435,994",Nation-state,Unpatched Software,Encryption,51
900,India,2016,Ransomware,IT,"$66,190,000","537,670",Hacker Group,Unpatched Software,Encryption,55
901,Russia,2022,Malware,Banking,"$39,620,000","850,339",Hacker Group,Social Engineering,Firewall,50
902,Japan,2021,DDoS,Government,"$35,460,000","937,562",Unknown,Zero-day,Firewall,10
903,France,2020,Malware,Government,"$10,620,000","405,267",Nation-state,Unpatched Software,AI-based Detection,5
904,China,2022,DDoS,Government,"$80,760,000","346,279",Unknown,Zero-day,Encryption,59
905,Brazil,2016,DDoS,Communications,"$10,450,000","889,928",Nation-state,Zero-day,Encryption,63
906,France,2018,SQL Injection,Healthcare,"$950,000","376,206",Unknown,Unpatched Software,Antivirus,44
907,India,2018,Ransomware,IT,"$27,140,000","227,433",Unknown,Unpatched Software,Antivirus,13
908,Germany,2023,Ransomware,Healthcare,"$54,790,000","393,779",Nation-state,Weak Passwords,Encryption,39
909,Russia,2022,Ransomware,IT,"$41,080,000","529,025",Insider,Unpatched Software,AI-based Detection,42
910,Brazil,2024,Man in the Middle,Education,"$8,940,000","451,311",Unknown,Weak Passwords,Encryption,14
911,India,2017,Ransomware,Education,"$98,110,000","677,198",Unknown,Social Engineering,VPN,28
912,Russia,2024,Man in the Middle,Healthcare,"$9,400,000","480,988",Nation-state,Unpatched Software,Encryption,59
913,Australia,2015,Ransomware,Communications,"$46,390,000","605,536",Nation-state,Unpatched Software,VPN,61
914,Brazil,2018,Ransomware,Banking,"$30,610,000","910,960",Nation-state,Social Engineering,Antivirus,31
915,China,2018,Ransomware,Banking,"$43,980,000","386,308",Nation-state,Weak Passwords,Antivirus,3
916,Australia,2017,Man in the Middle,Banking,"$54,380,000","100,855",Unknown,Social Engineering,VPN,2
917,China,2023,Malware,Education,"$23,740,000","317,922",Insider,Social Engineering,Antivirus,18
918,USA,2018,DDoS,IT,"$82,130,000","220,618",Unknown,Weak Passwords,Firewall,59
919,India,2015,Ransomware,Communications,"$24,700,000","825,941",Hacker Group,Unpatched Software,VPN,54
920,China,2022,Malware,Education,"$60,900,000","331,234",Unknown,Social Engineering,Antivirus,3
921,China,2020,Man in the Middle,Communications,"$14,610,000","855,055",Hacker Group,Unpatched Software,Antivirus,59
922,Japan,2022,DDoS,Communications,"$34,310,000","305,329",Unknown,Unpatched Software,Firewall,40
923,Japan,2020,Phishing,Government,"$32,390,000","442,923",Nation-state,Social Engineering,Encryption,57
924,UK,2015,Ransomware,Banking,"$79,300,000","893,277",Unknown,Social Engineering,Firewall,15
925,China,2020,Malware,Healthcare,"$30,860,000","240,532",Insider,Weak Passwords,Encryption,64
926,USA,2016,DDoS,Healthcare,"$93,140,000","947,960",Nation-state,Weak Passwords,Firewall,55
927,Brazil,2018,Malware,Healthcare,"$52,870,000","437,283",Insider,Zero-day,Antivirus,30
928,China,2019,Malware,Healthcare,"$29,610,000","761,390",Insider,Weak Passwords,Antivirus,7
929,France,2019,Phishing,Retail,"$25,750,000","998,507",Insider,Weak Passwords,AI-based Detection,15
930,India,2017,DDoS,Retail,"$82,170,000","593,329",Hacker Group,Unpatched Software,AI-based Detection,62
931,UK,2019,Phishing,Banking,"$60,070,000","197,590",Insider,Zero-day,Encryption,62
932,Japan,2017,Ransomware,Banking,"$50,750,000","53,111",Hacker Group,Social Engineering,Antivirus,15
933,Australia,2017,Phishing,Retail,"$14,880,000","69,641",Hacker Group,Unpatched Software,Firewall,54
934,Germany,2022,DDoS,IT,"$73,980,000","953,770",Insider,Weak Passwords,Firewall,54
935,Japan,2023,SQL Injection,Retail,"$42,330,000","643,549",Nation-state,Weak Passwords,VPN,20
936,Brazil,2022,Man in the Middle,Education,"$77,980,000","899,279",Insider,Zero-day,Firewall,39
937,India,2016,Ransomware,Education,"$8,550,000","857,887",Unknown,Social Engineering,Firewall,44
938,Russia,2016,Phishing,Government,"$30,570,000","503,775",Unknown,Zero-day,VPN,71
939,Japan,2015,SQL Injection,IT,"$36,980,000","452,892",Unknown,Weak Passwords,VPN,17
940,Russia,2018,Ransomware,Healthcare,"$24,060,000","327,566",Unknown,Unpatched Software,AI-based Detection,6
941,Australia,2018,Ransomware,Education,"$50,660,000","851,204",Insider,Zero-day,Firewall,3
942,UK,2017,Man in the Middle,Government,"$79,270,000","923,309",Hacker Group,Unpatched Software,Firewall,29
943,Brazil,2023,Phishing,Banking,"$71,860,000","151,590",Nation-state,Zero-day,Antivirus,30
944,UK,2022,DDoS,Education,"$21,010,000","452,432",Nation-state,Unpatched Software,Firewall,8
945,Japan,2015,Ransomware,Retail,"$95,380,000","769,596",Nation-state,Weak Passwords,VPN,65
946,Germany,2022,Phishing,Banking,"$14,790,000","407,151",Unknown,Weak Passwords,Antivirus,37
947,Brazil,2023,DDoS,IT,"$45,970,000","312,555",Nation-state,Social Engineering,AI-based Detection,67
948,Brazil,2019,Man in the Middle,Government,"$76,390,000","311,908",Unknown,Weak Passwords,Encryption,68
949,China,2018,Malware,Banking,"$68,550,000","59,979",Insider,Zero-day,Firewall,41
950,Japan,2019,Malware,IT,"$9,860,000","233,545",Unknown,Zero-day,Antivirus,55
951,France,2020,Man in the Middle,Retail,"$89,850,000","722,081",Hacker Group,Zero-day,VPN,33
952,Russia,2024,SQL Injection,Healthcare,"$76,990,000","873,037",Nation-state,Unpatched Software,Antivirus,31
953,India,2022,Malware,IT,"$12,080,000","482,213",Nation-state,Social Engineering,AI-based Detection,3
954,India,2020,Phishing,Education,"$39,720,000","512,850",Hacker Group,Zero-day,Antivirus,15
955,China,2023,Man in the Middle,Communications,"$37,730,000","849,834",Hacker Group,Zero-day,AI-based Detection,56
956,Brazil,2022,Malware,Retail,"$78,030,000","660,707",Insider,Unpatched Software,Firewall,11
957,USA,2021,Ransomware,Education,"$6,770,000","697,935",Unknown,Social Engineering,AI-based Detection,16
958,Russia,2019,Malware,IT,"$71,920,000","500,655",Nation-state,Zero-day,AI-based Detection,8
959,USA,2020,Ransomware,IT,"$95,790,000","239,343",Nation-state,Zero-day,VPN,63
960,China,2023,Phishing,Retail,"$90,040,000","143,728",Unknown,Zero-day,AI-based Detection,57
961,USA,2020,Phishing,Retail,"$99,640,000","464,717",Insider,Weak Passwords,VPN,27
962,Russia,2018,SQL Injection,Education,"$1,250,000","351,063",Nation-state,Weak Passwords,Firewall,56
963,Australia,2015,DDoS,Government,"$13,960,000","479,025",Nation-state,Zero-day,Antivirus,54
964,Germany,2021,DDoS,Banking,"$1,620,000","823,004",Nation-state,Zero-day,Encryption,22
965,Russia,2021,DDoS,Education,"$18,470,000","394,957",Hacker Group,Weak Passwords,Antivirus,27
966,France,2019,Phishing,Communications,"$28,880,000","96,640",Unknown,Social Engineering,Antivirus,60
967,Russia,2024,DDoS,Education,"$19,500,000","325,634",Insider,Weak Passwords,Firewall,5
968,France,2023,SQL Injection,Government,"$29,630,000","662,667",Hacker Group,Zero-day,VPN,30
969,USA,2024,Phishing,IT,"$57,240,000","107,681",Unknown,Zero-day,VPN,18
970,Russia,2017,Phishing,Banking,"$3,200,000","982,243",Insider,Zero-day,Encryption,6
971,Japan,2022,SQL Injection,Government,"$79,190,000","950,425",Unknown,Social Engineering,Antivirus,54
972,Brazil,2017,Ransomware,Education,"$80,500,000","279,808",Insider,Social Engineering,Antivirus,60
973,India,2024,SQL Injection,Communications,"$71,200,000","190,099",Unknown,Zero-day,AI-based Detection,15
974,Brazil,2019,Malware,Government,"$12,040,000","713,035",Nation-state,Social Engineering,AI-based Detection,59
975,Australia,2016,Malware,Retail,"$29,050,000","817,347",Nation-state,Weak Passwords,Antivirus,68
976,Germany,2023,Ransomware,Healthcare,"$28,180,000","707,214",Unknown,Weak Passwords,AI-based Detection,11
977,UK,2016,DDoS,Retail,"$39,260,000","668,780",Hacker Group,Zero-day,Firewall,33
978,Russia,2015,DDoS,Communications,"$57,210,000","609,196",Unknown,Social Engineering,VPN,4
979,USA,2021,Man in the Middle,Communications,"$83,880,000","980,367",Nation-state,Unpatched Software,Firewall,3
980,Russia,2022,Man in the Middle,IT,"$84,100,000","919,858",Nation-state,Unpatched Software,Encryption,47
981,France,2017,DDoS,Healthcare,"$39,490,000","195,459",Hacker Group,Weak Passwords,Encryption,14
982,Russia,2015,Man in the Middle,Government,"$46,760,000","713,342",Unknown,Weak Passwords,Encryption,36
983,UK,2019,DDoS,Banking,"$80,680,000","19,007",Nation-state,Unpatched Software,VPN,29
984,China,2022,Ransomware,Government,"$86,560,000","963,091",Insider,Zero-day,VPN,37
985,UK,2017,Malware,Government,"$66,250,000","726,887",Hacker Group,Social Engineering,Firewall,13
986,Russia,2021,DDoS,IT,"$78,760,000","130,413",Unknown,Social Engineering,Encryption,66
987,Germany,2017,Malware,Banking,"$97,680,000","906,914",Hacker Group,Zero-day,AI-based Detection,15
988,China,2020,Ransomware,IT,"$14,940,000","557,218",Nation-state,Zero-day,Firewall,70
989,Russia,2018,SQL Injection,Banking,"$59,290,000","380,543",Unknown,Weak Passwords,VPN,26
990,UK,2022,Malware,Retail,"$39,550,000","337,363",Insider,Social Engineering,VPN,2
991,China,2018,DDoS,IT,"$14,040,000","803,086",Nation-state,Social Engineering,VPN,23
992,China,2024,Man in the Middle,IT,"$63,790,000","195,858",Hacker Group,Zero-day,Encryption,1
993,India,2019,Malware,Banking,"$37,030,000","358,371",Insider,Weak Passwords,AI-based Detection,30
994,Australia,2019,Phishing,Retail,"$9,120,000","212,267",Insider,Zero-day,Antivirus,14
995,France,2021,Man in the Middle,Healthcare,"$52,040,000","757,744",Nation-state,Zero-day,Antivirus,43
996,Japan,2017,Ransomware,Retail,"$59,130,000","747,705",Insider,Unpatched Software,VPN,47
997,USA,2024,Phishing,Communications,"$64,670,000","996,651",Hacker Group,Weak Passwords,Encryption,69
998,UK,2015,Ransomware,Government,"$52,780,000","281,905",Insider,Social Engineering,VPN,32
999,Brazil,2019,Man in the Middle,Healthcare,"$7,440,000","739,981",Unknown,Social Engineering,Antivirus,54
1000,France,2016,SQL Injection,Communications,"$47,190,000","554,448",Hacker Group,Social Engineering,Antivirus,31
1001,USA,2016,Ransomware,Healthcare,"$99,190,000","745,103",Insider,Unpatched Software,Encryption,8
1002,India,2015,DDoS,Healthcare,"$10,940,000","600,279",Insider,Unpatched Software,AI-based Detection,16
1003,Russia,2016,Man in the Middle,IT,"$48,860,000","973,654",Unknown,Unpatched Software,Encryption,23
1004,China,2016,DDoS,Communications,"$80,480,000","78,123",Hacker Group,Social Engineering,Antivirus,50
1005,UK,2015,Man in the Middle,Government,"$69,960,000","675,955",Insider,Zero-day,Antivirus,60
1006,China,2016,DDoS,IT,"$18,960,000","122,866",Insider,Unpatched Software,VPN,46
1007,Russia,2018,Ransomware,Education,"$66,330,000","177,570",Nation-state,Social Engineering,Encryption,72
1008,France,2024,Man in the Middle,Retail,"$60,400,000","774,913",Unknown,Unpatched Software,Antivirus,43
1009,China,2024,Phishing,IT,"$24,920,000","852,327",Unknown,Zero-day,VPN,44
1010,Australia,2019,DDoS,IT,"$32,060,000","775,033",Hacker Group,Zero-day,Antivirus,8
1011,China,2022,Phishing,Communications,"$71,770,000","823,093",Insider,Zero-day,Firewall,36
1012,France,2018,Phishing,Government,"$70,590,000","947,445",Insider,Social Engineering,Encryption,59
1013,Japan,2018,DDoS,IT,"$75,340,000","972,713",Unknown,Unpatched Software,Encryption,71
1014,France,2023,Malware,Banking,"$9,990,000","116,840",Unknown,Zero-day,Firewall,51
1015,USA,2021,Ransomware,Communications,"$91,940,000","710,953",Unknown,Zero-day,Firewall,9
1016,Russia,2015,DDoS,IT,"$66,090,000","467,190",Nation-state,Social Engineering,AI-based Detection,25
1017,Germany,2024,Phishing,Healthcare,"$66,730,000","540,773",Unknown,Unpatched Software,VPN,15
1018,Australia,2018,SQL Injection,Banking,"$40,110,000","874,040",Unknown,Social Engineering,Firewall,6
1019,Australia,2022,SQL Injection,Healthcare,"$60,710,000","8,498",Nation-state,Weak Passwords,VPN,17
1020,USA,2016,DDoS,IT,"$18,480,000","112,881",Hacker Group,Social Engineering,VPN,32
1021,Japan,2018,DDoS,IT,"$9,900,000","942,725",Insider,Zero-day,VPN,56
1022,France,2024,Phishing,Education,"$52,030,000","168,684",Nation-state,Unpatched Software,VPN,27
1023,Japan,2018,DDoS,Communications,"$25,060,000","559,274",Hacker Group,Social Engineering,Firewall,27
1024,UK,2016,Phishing,Retail,"$13,680,000","144,856",Unknown,Unpatched Software,Antivirus,13
1025,Japan,2015,Malware,Banking,"$2,630,000","418,914",Nation-state,Unpatched Software,Firewall,53
1026,Brazil,2024,Phishing,Retail,"$88,470,000","842,945",Hacker Group,Weak Passwords,Firewall,67
1027,UK,2022,DDoS,Government,"$50,040,000","841,198",Unknown,Zero-day,VPN,41
1028,Germany,2024,Phishing,Government,"$19,520,000","50,054",Insider,Unpatched Software,Antivirus,24
1029,Brazil,2020,DDoS,Communications,"$4,520,000","52,302",Unknown,Social Engineering,VPN,58
1030,India,2015,Man in the Middle,Banking,"$97,280,000","694,308",Nation-state,Weak Passwords,VPN,66
1031,China,2019,Malware,Communications,"$62,670,000","520,232",Nation-state,Weak Passwords,Encryption,53
1032,Germany,2018,SQL Injection,Retail,"$46,340,000","575,379",Unknown,Zero-day,AI-based Detection,35
1033,Russia,2023,Man in the Middle,IT,"$26,450,000","850,714",Hacker Group,Unpatched Software,Encryption,6
1034,Germany,2023,SQL Injection,Healthcare,"$14,120,000","403,325",Hacker Group,Weak Passwords,AI-based Detection,35
1035,Brazil,2022,Phishing,Education,"$80,990,000","345,577",Insider,Unpatched Software,Encryption,4
1036,Australia,2017,Man in the Middle,IT,"$30,510,000","428,352",Hacker Group,Unpatched Software,Firewall,41
